,Source,Target,religion_name,first_year,last_year
444,John Gayner,APS,Quaker,1865,1865
445,Deborah Gibson,APS,Quaker,1866,1866
446,E Gilkes,APS,Quaker,1861,1861
447,Charles Gillett,APS,Quaker,1860,1867
448,Jonathan Gillett,APS,Quaker,1860,1867
449,Burwood Godlee,APS,Quaker,1839,1867
450,Alexander Grace,APS,Quaker,1862,1867
451,Anna Gurney,APS,Quaker,1851,1857
452,Edmund Gurney,APS,Quaker,1851,1855
453,Henry E Gurney,APS,Quaker,1855,1866
454,John Gurney,APS,Quaker,1839,1855
455,Samuel Gurney,APS,Quaker,1838,1867
456,Daniel P Hack,APS,Quaker,1851,1867
457,John Barton Hack,APS,Quaker,1839,1851
458,Cornelius Hanbury,APS,Quaker,1838,1867
459,Cornelius x Jun Hanbury,APS,Quaker,1866,1867
460,Daniel Bell Hanbury,APS,Quaker,1851,1867
461,Samuel Hare,APS,Quaker,1861,1866
462,Charles L Harford,APS,Quaker,1838,1855
463,John Harford,APS,Quaker,1838,1851
464,Summers Harford,APS,Quaker,1838,1855
465,William Hargreaves,APS,Quaker,1860,1867
466,John Harlock,APS,Quaker,1860,1867
467,Theodore Harris,APS,Quaker,1862,1867
468,Gray Hester,APS,Quaker,1861,1867
469,M A Hewitson,APS,Quaker,1867,1867
470,Henry Hipsley,APS,Quaker,1862,1867
471,John Hodgkin,APS,Quaker,1851,1867
472,J Holdsworth,APS,Quaker,1860,1861
473,Richard Holdsworth,APS,Quaker,1864,1867
474,G B Holmes,APS,Quaker,1840,1840
475,S Horman-Fisher,APS,Quaker,1857,1857
476,Robert Horne,APS,Quaker,1860,1867
477,John Horniman,APS,Quaker,1860,1867
478,Charles Horsnaill,APS,Quaker,1860,1866
479,W C Horsnaill,APS,Quaker,1860,1861
480,Sarah Hotham,APS,Quaker,1860,1866
481,Luke Howard,APS,Quaker,1851,1852
482,William Howitt,APS,Quaker,1839,1851
483,Rachel Hubbert,APS,Quaker,1866,1866
484,Joseph Hudson,APS,Quaker,1861,1861
485,John Huntley,APS,Quaker,1864,1866
486,Joseph Huntley,APS,Quaker,1860,1867
487,Martha Hutchinson,APS,Quaker,1839,1840
488,R Impey,APS,Quaker,1861,1863
489,Edward James,APS,Quaker,1860,1867
490,A Janson,APS,Quaker,1861,1861
491,William Janson,APS,Quaker,1852,1867
492,Andrew Johnston,APS,Quaker,1838,1866
493,Andrew & Jun Johnston,APS,Quaker,1861,1862
494,John Jowett,APS,Quaker,1860,1867
495,W D King,APS,Quaker,1862,1865
496,J H Knight,APS,Quaker,1860,1861
497,T Knott,APS,Quaker,1860,1860
498,Edward A Leatham,APS,Quaker,1851,1867
499,Isabella Lister,APS,Quaker,1838,1840
500,Wilson Lloyd,APS,Quaker,1866,1867
501,Haggar Lowe,APS,Quaker,1838,1867
502,Edmund Lucas,APS,Quaker,1851,1864
503,Frederick Lucas,APS,Quaker,1839,1840
504,Jeffrey Lucas,APS,Quaker,1840,1854
505,Martha Lucas,APS,Quaker,1851,1855
506,Samuel Lucas,APS,Quaker,1851,1867
507,William Jun Lucas,APS,Quaker,1839,1860
508,Harford Lury,APS,Quaker,1860,1865
509,J E Lury,APS,Quaker,1853,1867
510,W Mann,APS,Quaker,1860,1860
511,Caroline Marriage,APS,Quaker,1860,1867
512,Edward Marsh,APS,Quaker,1857,1867
513,Thomas William Marsh,APS,Quaker,1860,1867
514,Thomas Maw,APS,Quaker,1839,1840
515,Edward C May,APS,Quaker,1839,1862
516,Francis May,APS,Quaker,1860,1865
517,John Mayfield,APS,Quaker,1847,1867
518,Josiah Merrick,APS,Quaker,1860,1867
519,John Morland,APS,Quaker,1839,1867
520,George L Neighbour,APS,Quaker,1847,1867
521,Josiah Newman,APS,Quaker,1867,1867
522,William Norris,APS,Quaker,1860,1867
523,Thomas Norton,APS,Quaker,1860,1867
524,William Norton,APS,Quaker,1861,1867
525,William Nutter,APS,Quaker,1860,1866
526,J J Packer,APS,Quaker,1861,1862
527,George Palmer,APS,Quaker,1860,1867
528,Reuben C Payne,APS,Quaker,1860,1867
529,Arthur Pease,APS,Quaker,1861,1866
530,Edward Pease,APS,Quaker,1838,1867
531,Gurney Pease,APS,Quaker,1865,1866
532,Henry Fell Pease,APS,Quaker,1851,1867
533,John Pease,APS,Quaker,1851,1867
534,John B Pease,APS,Quaker,1852,1867
535,Joseph Pease,APS,Quaker,1838,1866
536,Joseph Whitwell Pease,APS,Quaker,1866,1866
537,Susan Pease,APS,Quaker,1851,1851
538,Thomas Pease,APS,Quaker,1861,1867
539,Algernon Peckover,APS,Quaker,1851,1867
540,William Peckover,APS,Quaker,1866,1867
541,Robert H Penney,APS,Quaker,1866,1867
542,Isaac Pitt,APS,Quaker,1860,1867
543,Jacob Post,APS,Quaker,1839,1851
544,Joseph T Price,APS,Quaker,1838,1855
545,Lydia Prideaux,APS,Quaker,1860,1867
546,Samuel Priestman,APS,Quaker,1860,1865
547,John Pryor,APS,Quaker,1852,1852
548,G R Pumphrey,APS,Quaker,1862,1862
549,W P Read,APS,Quaker,1862,1862
550,Isaac Reckitt,APS,Quaker,1861,1861
551,Jonathan Rees,APS,Quaker,1851,1854
552,Jane Reynolds,APS,Quaker,1838,1855
553,G E Richardson,APS,Quaker,1860,1860
554,John Rickman,APS,Quaker,1839,1851
555,Josephina Rickman,APS,Quaker,1839,1851
556,Matilda Rickman,APS,Quaker,1851,1851
557,Priscilla Rickman,APS,Quaker,1840,1840
558,R Rickman,APS,Quaker,1838,1863
559,R P Rickman,APS,Quaker,1860,1865
560,Isaac Robson,APS,Quaker,1862,1867
561,J S Robson,APS,Quaker,1861,1867
562,Joseph Rosling,APS,Quaker,1860,1860
563,Samuel Rosling,APS,Quaker,1866,1867
564,John Rowntree,APS,Quaker,1855,1867
565,W Rowntree,APS,Quaker,1860,1860
566,Sarah Rundell,APS,Quaker,1851,1856
567,John F Rutter,APS,Quaker,1863,1867
568,Samuel Rutter,APS,Quaker,1862,1866
569,E Sayce,APS,Quaker,1860,1860
570,Hannah Scarr,APS,Quaker,1861,1866
571,F Seebohm,APS,Quaker,1861,1861
572,John R Seekings,APS,Quaker,1862,1866
573,James Sessions,APS,Quaker,1851,1859
574,Lydia Sessions,APS,Quaker,1865,1865
575,Robert Sessions,APS,Quaker,1861,1867
576,Abraham Sewell,APS,Quaker,1860,1866
577,E F Sewell,APS,Quaker,1860,1860
578,Joseph Sewell,APS,Quaker,1851,1851
579,Phillip Sewell,APS,Quaker,1851,1856
580,Joseph Sharples,APS,Quaker,1838,1867
581,John T Shewell,APS,Quaker,1852,1866
582,Thomas Short,APS,Quaker,1861,1867
583,W Dillwyn Sims,APS,Quaker,1851,1865
584,W Skinner,APS,Quaker,1861,1861
585,Bartholomew Smith,APS,Quaker,1861,1867
586,George Smithson,APS,Quaker,1865,1866
587,E P Southall,APS,Quaker,1838,1838
588,Sarah Southall,APS,Quaker,1864,1867
589,J M Sparkes,APS,Quaker,1861,1866
590,H Squire,APS,Quaker,1860,1860
591,John Stansfield,APS,Quaker,1860,1866
592,Joseph Sterry,APS,Quaker,1851,1867
593,Sarah Sterry,APS,Quaker,1860,1861
594,J L Stevens,APS,Quaker,1860,1865
595,Charles Sturge,APS,Quaker,1860,1862
596,Edmund Sturge,APS,Quaker,1860,1862
597,George Sturge,APS,Quaker,1867,1867
598,H J Sturge,APS,Quaker,1865,1867
599,Samuel Sturge,APS,Quaker,1851,1855
600,Thomas M Sturge,APS,Quaker,1838,1866
601,Walter Sturge,APS,Quaker,1860,1867
602,Jemima Swan,APS,Quaker,1862,1867
603,William Tanner,APS,Quaker,1860,1865
604,W Tatum,APS,Quaker,1860,1862
605,Edward Thomas,APS,Quaker,1851,1854
606,George Thomas,APS,Quaker,1851,1867
607,Samuel Thompson,APS,Quaker,1839,1840
608,Fielden Thorpe,APS,Quaker,1862,1867
609,E O Tindale,APS,Quaker,1860,1860
610,Robert Tindall,APS,Quaker,1839,1839
611,Joshua Treffry,APS,Quaker,1860,1867
612,Nathaniel Tregellis,APS,Quaker,1859,1867
613,Elizabeth Tuckett,APS,Quaker,1840,1840
614,Francis Tuckett,APS,Quaker,1840,1854
615,P Debell Tuckett,APS,Quaker,1839,1866
616,D Tuke,APS,Quaker,1861,1862
617,J H Tuke,APS,Quaker,1862,1862
618,Samuel Tuke,APS,Quaker,1840,1860
619,Ann Tweedy,APS,Quaker,1861,1867
620,R Tweedy,APS,Quaker,1860,1860
621,William Tweedy,APS,Quaker,1838,1854
622,Richard Veale,APS,Quaker,1852,1867
623,William Veale,APS,Quaker,1864,1864
624,John Wadge,APS,Quaker,1838,1838
625,F J Walker,APS,Quaker,1860,1860
626,Marriage Wallis,APS,Quaker,1861,1866
627,Charles B Warner,APS,Quaker,1851,1851
628,Septimus Warner,APS,Quaker,1862,1862
629,Lucy Westcombe,APS,Quaker,1865,1867
630,Thomas Westcombe,APS,Quaker,1860,1867
631,Benjamin Wheeler,APS,Quaker,1851,1856
632,Frederick Wheeler,APS,Quaker,1851,1867
633,Samuel Wheeler,APS,Quaker,1852,1854
634,John Whiting,APS,Quaker,1862,1867
635,John Wiblin,APS,Quaker,1861,1867
636,Caleb Williams,APS,Quaker,1854,1867
637,John E Wilson,APS,Quaker,1860,1867
638,Joshua Wilson,APS,Quaker,1860,1860
639,F Woodhead,APS,Quaker,1861,1862
640,W Woolston,APS,Quaker,1861,1861
641,Francis Wright,APS,Quaker,1838,1838
642,S W Wright,APS,Quaker,1861,1861
