"Name","birth_year","death_year","religion_1_quaker"
x Devonshire,1808,1891,NA
Hugh Welch Diamond,1809,1886,NA
George Dibley,NA,NA,NA
John jun Dickinson,NA,NA,NA
John Jun Dickinson,1782,1869,NA
Henry Dickman,NA,NA,NA
Charles Sheffield Dickson,NA,NA,NA
Peter Dickson,NA,NA,NA
Ernest Dieffenbach,1811,1855,NA
x Diezmann,NA,NA,NA
Charles Wentworth Dilke,1843,1911,NA
John Dingle,1812,1885,NA
Henry Distin,NA,NA,NA
Thomas J Dobson,NA,NA,NA
Jacob Ludwig Dohne,1811,1879,NA
William Donald,NA,NA,NA
John Donaldson,1845,1865,NA
x Donnell,NA,NA,NA
Cornelius Donovan,1820,1872,NA
Bernard Dorn,1805,1881,NA
James Dowie,NA,NA,NA
John Langdon H Down,1828,1896,NA
Alexander Downing,1843,1907,NA
Arthur Edward Downing,NA,NA,NA
Washington Downing,NA,NA,NA
James T J Doyle,NA,NA,1
D I Drakeford,NA,NA,NA
James F Draper,NA,1876,NA
Gustavus Dressler,NA,NA,NA
Robert A Drew,NA,1868,NA
H Driver,NA,1868,NA
John Drummond,1793,1875,NA
Paul Belloni Du Chaillu,1831,1903,NA
C A Du Val,1810,1872,NA
Gustaf Von Duben,1822,1892,NA
x Dublin,1787,1863,NA
Frederick Duckworth,NA,NA,NA
Henry Duckworth,NA,NA,NA
Samuel Duckworth,NA,NA,NA
William Duckworth,1795,1876,NA
R E Dudgeon,1820,1904,NA
Reginald R Dudley,NA,NA,NA
J R Duggan,1903,NA,NA
W N Duggan,NA,NA,NA
Emile Duhousset,1823,NA,NA
Conrad C Dumas,1832,1891,NA
x Dumon,NA,NA,NA
Alexander Duncan,1819,1887,NA
David Duncan,1839,1923,NA
Francis Duncan,1836,1888,NA
Peter Martin Duncan,1824,1891,NA
R  Murray Dundas,NA,NA,NA
Alfred John Dunkin,1812,1879,NA
Alexander Milne Dunlop,1841,1897,NA
R H W Dunlop,NA,NA,NA
Robert Dunn,1799,1877,NA
x Dunraven & Mountearl,1812,1871,NA
Patrick Frederick Durham,NA,NA,NA
Robert Dyce,1798,1869,NA
William Thistleton Dyer,NA,NA,NA
Robert Eadie,NA,NA,NA
George Windsor Earl,1813,1865,NA
