"Source","Target","first_year","last_year"
Henry Jules Blanc,London,,
Henry Jules Blanc,Royal College of Surgeons Edinburgh,,
Henry Jules Blanc,medical,,
Sydney L Blanchard,ASL,,
Sydney L Blanchard,Arundel Club,,
Sydney L Blanchard,London,,
Albert Taylor Bledsoe,ASL,,
Albert Taylor Bledsoe,America,,
Albert Taylor Bledsoe,London,,
Albert Taylor Bledsoe,legal,,
David Blellock,ASL,,
David Blellock,London,,
David Blellock,legal,,
John Hillier Blount,ASL,,
John Hillier Blount,India,,
John Hillier Blount,country,,
John Hillier Blount,medical,,
Frederick Edmund Blyth,ASL,,
Frederick Edmund Blyth,London,,
Henry S Boase,ASL,,
Henry S Boase,Geological Society,,
Henry S Boase,Royal Society,,
Henry S Boase,Scotland,,
Henry S Boase,medical,,
Anatoly Petrovich Bogdanoff,ASL,,
Anatoly Petrovich Bogdanoff,Anthropological Society of Moscow,,
Anatoly Petrovich Bogdanoff,Russia,,
Anatoly Petrovich Bogdanoff,academic,,
Edward B Bogg,ASL,,
Edward B Bogg,Canada,,
Edward B Bogg,armed services,,
Edward B Bogg,medical,,
Henry George Bohn,AI,,
Henry George Bohn,ESL,,
Henry George Bohn,Linnean Society of London,,
Henry George Bohn,London,,
Henry George Bohn,Royal Astronomical Society,,
Henry George Bohn,Royal Geographical Society,,
Henry George Bohn,Royal Society of Literature,,
Henry George Bohn,publisher,,
John Peter Boileau,ESL,,
John Peter Boileau,London,,
John Peter Boileau,aristocracy,,
Henry James Bolding,Australia,,
Henry James Bolding,ESL,,
Charles W Bollaert,ASL,,
Charles W Bollaert,Argentina,,
William Bollaert,AI,,
William Bollaert,ASL,,
William Bollaert,ESL,,
William Bollaert,"Ethnological Society, New York",,
William Bollaert,London,,
William Bollaert,Royal Geographical Society,,
William Bollaert,chemist,,
William Bollaert,ethnologist,,
William Bollaert,geographer,,
William Bollaert,literary,,
Louis Lucien Bonaparte,AI,,
Louis Lucien Bonaparte,Athenaeum Club,,
Louis Lucien Bonaparte,ESL,,
Louis Lucien Bonaparte,France,,
Louis Lucien Bonaparte,London,,
Louis Lucien Bonaparte,academic,,
Louis Lucien Bonaparte,aristocracy,,
Louis Lucien Bonaparte,political,,
E Bonavia,ESL,,
E Bonavia,London,,
E Bonavia,medical,,
E Bonavia,museum work,,
George Bonavia,AI,,
George Bonavia,ESL,,
George Bonavia,London,,
George Bonavia,artist,,
Charles Radcliffe Bond,ASL,,
Charles Radcliffe Bond,London,,
Charles Radcliffe Bond,Royal College of Surgeons,,
Charles Radcliffe Bond,medical,,
Walter M Bond,ASL,,
Walter M Bond,Ireland,,
George Bonham,Athenaeum Club,,
George Bonham,ESL,,
George Bonham,London,,
George Bonham,administrative,,
George Bonham,aristocracy,,
W C Bonnerjee,ASL,,
W C Bonnerjee,Geological Society,,
W C Bonnerjee,London,,
W C Bonnerjee,legal,,
T  George Bonney,ASL,,
T  George Bonney,Athenaeum Club,,
T  George Bonney,Geological Society,,
T  George Bonney,Royal Society,,
T  George Bonney,church,,
T  George Bonney,country,,
Evert Julius Bonsdorff,ASL,,
Evert Julius Bonsdorff,Finland,,
Evert Julius Bonsdorff,anatomist,,
Evert Julius Bonsdorff,medical,,
Evert Julius Bonsdorff,zoologist,,
James Bonsor,AI,,
James Bonsor,ASL,,
James Bonsor,London,,
James Bonsor,"Society for the Encouragement of Arts, Manufactures and Commerce",,
James Bonsor,business,,
James Bonwick,AI,,
James Bonwick,ASL,,
James Bonwick,Australia,,
James Bonwick,ESL,,
James Bonwick,London,,
James Bonwick,Royal Geographical Society,,
James Bonwick,educator,,
James Bonwick,literary,,
Charles Booth,ASL,,
