"Source","Target"
Cornelieus Prior,APS
G Pritchard,APS
J E Pritchett,APS
Joseph R Procter,APS
J R Pumphrey,APS
Herman Quinius,APS
G Ralston,APS
W Ramsden,APS
John Rand,APS
Alfred Ransome,APS
Joshua Ransome,APS
W Ransome,APS
C Rathbone,APS
George Rawson,APS
James Read,APS
A Reid,APS
Mohammed Rheire,APS
x Riach,APS
Heinrich Richter,APS
x Rickman,APS
R Rickmer,APS
E Ridley,APS
x Ritchie,APS
Henry Robarts,APS
C B Robinson,APS
W Robson,APS
x Robson,APS
x Roger,APS
H Rolls,APS
T Roscoe,APS
R P Ruckman,APS
M Ruppel,APS
H C Rutherford,APS
J E Rutter,APS
Egerton Ryerson,APS
John Saunders,APS
S Saunders,APS
x Saunders,APS
x Schlosser,APS
Thomas Schofield,APS
x Scoon,APS
Samuel S Scriven,APS
Hannah Scurr,APS
E T Sewell,APS
x Sharples,APS
John S Shewell,APS
M Sismondi,APS
B Slack,APS
Ann Hopkins Smith,APS
Charles E Smith,APS
Culling Eardley Smith,APS
Ebenezer Smith,APS
Homerton Smith,APS
J P Smith,APS
P A Smith,APS
Pye Smith,APS
R Jun Smith,APS
x Smith,APS
W Somerville,APS
W Sommerville,APS
Sarah Southwell,APS
Julius Sperling,APS
N G Sperling,APS
x Sperling,APS
Osbourne Spurfield,APS
F Squire,APS
x Stafford,APS
George Stancliff,APS
Thomas Stark,APS
Trevor Steinglass,APS
x Steininger,APS
E Stephens,APS
J M Stephens,APS
x Stephens,APS
Deborah Sterry,APS
M Stevens,APS
x Stevens,APS
Mary Stevenson,APS
Andrew Stewart,APS
J J Stitt,APS
William Stokes,APS
John Stone,APS
x Stone,APS
x Stow,APS
Thomas Stronge,APS
x Stroud,APS
John James Stulz,APS
Charles Sturgeon,APS
x Sturges,APS
John James Sturtz,APS
J W Sully,APS
William Summerville,APS
Charles Sumner,APS
J H Sunman,APS
Arthur Tappan,APS
Thomas Taylor,APS
J B Teesdale,APS
Hull Terrell,APS
x Thatcher,APS
James Sanderson Thomas,APS
M Thomas,APS
Perronet Thompson,APS
H B Thorpe,APS
Jonathan Thorpe,APS
x Tiedeman,APS
M de Tocqueville,APS
Thomas Todd,APS
William McCullagh Torrens,APS
C S Tosswill,APS
J H Tredgold,APS
