"Source","Target"
Moore A Cuffe,ASL
Edward Barrett Hodges Curteis,ASL
John Cuthbert,ASL
John Richmond Cuthbert,ASL
William Barrington D'Almeida,ASL
Jean Baptiste Julien D'Omalius d'Halloy,ASL
S J Da Costa,ASL
x Daa,ASL
G P Dall,ASL
Eugene Dally,ASL
Frederick Whittock Darby,ASL
Camille Dareste,ASL
George Russell Dartnell,ASL
Charles Darwin,ASL
Arthur Dashwood,ASL
Samuel Davenport,ASL
John George Davey,ASL
John Davidson,ASL
I Davie,ASL
F  Drummond Davies,ASL
Jesse Conway Davies,ASL
William Davies,ASL
Edmund Francis Davis,ASL
Frederick E Davis,ASL
George Dawson,ASL
Walter F Dawson,ASL
Samuel Phillips Day,ASL
John junr De Horne,ASL
Octave Delepierre,ASL
Walter Cooper Dendy,ASL
George Denman,ASL
x Derby (formerly Stanley),ASL
Jules Desnoyers,ASL
Charles William Devis,ASL
George Dibley,ASL
