"id","family_name","first_names","id:1","society"
897,Hart,Ernest Abraham,2,Royal College of Surgeons
903,Haughton,Richard,26,Royal Asiatic Society
905,Hawkins,George,64,British Archaeological Association
907,Hawkins,Walter,9,Society of Antiquaries
907,Hawkins,Walter,64,British Archaeological Association
907,Hawkins,Walter,113,Numismatic Society
912,Hayle,Thomas,33,Royal College of Surgeons Edinburgh
912,Hayle,Thomas,135,British Homeopathic Society
912,Hayle,Thomas,136,Northern Homeopathic Society
912,Hayle,Thomas,137,Hahneman Medical Society
912,Hayle,Thomas,138,British Homeopathic Association
913,Haynes,R W,15,Royal Society of Literature
916,Healey,Edward Charles,36,Royal Historical Society
917,Heath,Dunbar Isidore,15,Royal Society of Literature
917,Heath,Dunbar Isidore,26,Royal Asiatic Society
928,Henriques,Alfred Gutteres,11,Geological Society
929,Henry,Joseph,139,Smithsonian Institution
940,Hewlett,Alfred,11,Geological Society
940,Hewlett,Alfred,140,Institute of Mining Engineers
941,Heywood,James,21,Royal Society
941,Heywood,James,9,Society of Antiquaries
941,Heywood,James,11,Geological Society
941,Heywood,James,38,Marine Biological Association of the United Kingdom
943,Higgins,Alfred,12,Anthropological Society of Paris
948,Hill,George,27,Royal College of Physicians
956,Hindmarsh,Frederick,11,Geological Society
956,Hindmarsh,Frederick,8,Royal Geographical Society
956,Hindmarsh,Frederick,64,British Archaeological Association
956,Hindmarsh,Frederick,142,Historic Society of Lancashire and Cheshire
961,Hitchman,W,16,Linnean Society of London
961,Hitchman,W,2,Royal College of Surgeons
963,Hobbs,W G E,8,Royal Geographical Society
967,Hodgkin,Thomas (1),8,Royal Geographical Society
967,Hodgkin,Thomas (1),86,Philological Society
967,Hodgkin,Thomas (1),72,Society for the Diffusion of Useful Knowledge
967,Hodgkin,Thomas (1),55,British Association
968,Hodgson,Brian Houghton,26,Royal Asiatic Society
968,Hodgson,Brian Houghton,16,Linnean Society of London
968,Hodgson,Brian Houghton,21,Royal Society
974,Holgate,Jennings,64,British Archaeological Association
975,Holland,James,8,Royal Geographical Society
980,Hon,H  le,143,Geological Society of France
981,Hood,T H,11,Geological Society
981,Hood,T H,8,Royal Geographical Society
982,Hooker,Joseph,21,Royal Society
987,Horton,W J S,144,Kent Archaeological Society
987,Horton,W J S,26,Royal Asiatic Society
990,Houghton,x,21,Royal Society
990,Houghton,x,8,Royal Geographical Society
990,Houghton,x,34,Zoological Society
992,Houghton,Edward Price,2,Royal College of Surgeons
1000,Howorth,Henry Hoyle,50,Society for Psychical Research
1000,Howorth,Henry Hoyle,21,Royal Society
1000,Howorth,Henry Hoyle,145,Royal Archaeological Institute
1000,Howorth,Henry Hoyle,8,Royal Geographical Society
1000,Howorth,Henry Hoyle,26,Royal Asiatic Society
1000,Howorth,Henry Hoyle,113,Numismatic Society
1001,Hoyland,Charles William,2,Royal College of Surgeons
1003,Hudson,F,23,Chemical Society
1004,Hudson,Henry,56,Royal Irish Academy
1004,Hudson,Henry,23,Chemical Society
1005,Hudson,Robinson,2,Royal College of Surgeons
1006,Hughes,Richard,27,Royal College of Physicians
1006,Hughes,Richard,2,Royal College of Surgeons
1008,Hughes,Thomas McKenny,11,Geological Society
1008,Hughes,Thomas McKenny,9,Society of Antiquaries
1008,Hughes,Thomas McKenny,123,Cumberland and Westmorland Antiquarian and Archaeological Society
1010,Humble,Thomas,27,Royal College of Physicians
1013,Hunt,George S  Lennon,8,Royal Geographical Society
1014,Hunt,James,15,Royal Society of Literature
1014,Hunt,James,146,Imperial Leopoldino Carolina Academia Naturae Curiosum
1014,Hunt,James,12,Anthropological Society of Paris
1014,Hunt,James,147,Upper Hesse Society for Natural and Medical Science
1014,Hunt,James,9,Society of Antiquaries
1021,Hutchinson,Jonathan,2,Royal College of Surgeons
1021,Hutchinson,Jonathan,6,Medical and Chirurgical Society of London
1024,Huxley,Thomas Henry,55,British Association
1024,Huxley,Thomas Henry,21,Royal Society
1024,Huxley,Thomas Henry,16,Linnean Society of London
1024,Huxley,Thomas Henry,11,Geological Society
1024,Huxley,Thomas Henry,124,Metaphysical Society
1024,Huxley,Thomas Henry,38,Marine Biological Association of the United Kingdom
1028,Ince,Joseph,23,Chemical Society
1028,Ince,Joseph,149,Royal Microscopical Society
1028,Ince,Joseph,16,Linnean Society of London
1028,Ince,Joseph,150,Royal Pharmaceutical Society
1029,Ingham,Robert,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
1031,Inman,Robert M,8,Royal Geographical Society
