"Source","Target"
Augustus Henry Lane Fox later Pitt Rivers,Anthropological Society of Paris
Augustus Henry Lane Fox later Pitt Rivers,Societa Italiana di Antropologia e di Etnologia
Augustus Henry Lane Fox later Pitt Rivers,Anthropological Society of Washington
Andrew Lang,Folklore Society
Andrew Lang,Society for Psychical Research
Andrew Lang,British Academy
Robert Gordon Latham,Royal Society
Robert Gordon Latham,"Society for the Encouragement of Arts, Manufactures and Commerce"
John Zachariah Laurence,Royal College of Surgeons
Joseph Law,Sheffield Medical Society
Edward Lawford,Society of Antiquaries
Edward (1) Lawrence,Royal Geographical Society
William Lawrence,Royal Society
William Lawrence,Royal College of Surgeons
Frederick George Lee,Society of Antiquaries
John Lee (2),Royal Society
John Lee (2),Royal Asiatic Society
John Lee (2),Linnean Society of London
John Lee (2),Geological Society
John Lee (2),Society of Antiquaries
John Lee (2),Royal Geographical Society
John Edward Lee,Society of Antiquaries
John Edward Lee,Caerleon Antiquarian Association
Richard Lee,Royal College of Surgeons
Louis Leguay,Societe Parisienne d'Archeologie et d'Histoire
Henry Leighton,Zoological Society
Arthur Charles Wriothesley Lennox,Geological Society
W  Hanks Levy,Association for Promoting the General Welfare of the Blind
W  Hanks Levy,Royal Geographical Society
Charles Francis Lewis,Royal College of Physicians
Charles Francis Lewis,Obstetrical Society of London
Charles Francis Lewis,Royal College of Surgeons
John Lister,Geological Society
John Lister,Palaeontographical Society
John Lister,Yorkshire Geological and Polytechnic Society
John Lister,Zoological Society
John Lister,Halifax Literary and Philosophical Society
Joseph Lister,Royal Society
F T Littey,Royal College of Surgeons
Robert Liveing,Royal Botanic Society of London
Edmund Lloyd,Royal College of Surgeons
James L Lobley,Geological Society
James L Lobley,Geologist's Association
William Lockhart,Royal Geographical Society
William Lockhart,Royal College of Surgeons
Joseph Norman Lockyer,Royal Astronomical Society
Joseph Norman Lockyer,Royal Institution
J R Logan,Geological Society
x Londesborough,Royal Society
William Longman,Geological Society
William Longman,Royal Society of Literature
William Longman,Royal Geographical Society
Mark Anthony Lower,Society of Antiquaries
Mark Anthony Lower,Sussex Archaeological Society
John Lubbock,Royal Society
John Lubbock,Society of Antiquaries
John Lubbock,Geological Society
John Lubbock,Linnean Society of London
John Lubbock,Anthropological Society of Paris
John Lubbock,Anthropological Society of Berlin
John Lubbock,Marine Biological Association of the United Kingdom
Thomas Lucas,Field Naturalists Club of Victoria
Thomas Lucas,Zoological Society
Thomas Lucas,Linnean Society of London
Thomas Lucas,Royal Society
Thomas Lucas,Royal College of Surgeons
Thomas Lucas,British Medical Association
Thomas Lucas,Linnean Society of New South Wales
William Charles Lucy,Geological Society
William Charles Lucy,Bristol and Gloucester Archaeological Society
William Collings Lukis,Society of Antiquaries
Edward Lund,Royal College of Surgeons
Edward Lund,Manchester Medical Society
Coryndon H Luxmoore,Society of Antiquaries
