"Source","Target"
C  Poorooshottum Modeliar,London
C  Treasure Jones,ASL
C  Treasure Jones,China
C  Treasure Jones,Royal Asiatic Society
C  Treasure Jones,diplomacy
C A Albright,APS
C A Du Val,ASL
C A Du Val,Manchester Literary and Philosophical Society
C A Du Val,artist
C A Du Val,country
C A Du Val,photographer
C Ashby,APS
C Ashby,Quaker
C B Mosse,ASL
C B Mosse,Ireland
C B Mosse,medical
C B Robinson,APS
C Baxter,APS
C Clarke,APS
C Clarke,ESL
C Clothier,APS
C Clothier,Quaker
C D Hammond,ASL
C D Hammond,London
C D Hammond,medical
C D Tolme,ESL
C D Tolme,London
C D Tolme,business
C E Harle,ASL
C E Harle,London
C E Harle,Royal College of Surgeons
C E Harle,medical
C F Howard,ASL
C F Howard,London
C F Howard,civil service
C H  Fairfax Ellis,AI
C H  Fairfax Ellis,ASL
C H  Fairfax Ellis,armed services
C H  Fairfax Ellis,country
C H Pearson,Athenaeum Club
C H Pearson,ESL
C H Pearson,London
C H Pearson,academic
C Haddison,APS
C Hinchcliffe,APS
C Jervise,ASL
C Jervise,London
C Knight,APS
C Knight,Quaker
C Lilgevolch,APS
C Lushington,APS
C M Barter,ASL
C M Barter,country
C M Barter,medical
C Mottley,APS
C Rathbone,APS
C S Tosswill,APS
C Southall,APS
C Southall,Quaker
C T Gardner,AI
C T Gardner,China
C T Gardner,ESL
C T Gardner,London
C T Gardner,Royal Geographical Society
C T Gardner,diplomacy
C W  Bowdler Bell,ASL
C W  Bowdler Bell,India
C W  Bowdler Bell,armed services
C Washbourne,APS
Caleb Fletcher,APS
Caleb Fletcher,Quaker
Caleb Williams,APS
Caleb Williams,Quaker
Camille Bertrand,ASL
Camille Bertrand,France
Camille Bertrand,medical
Camille Dareste,ASL
Camille Dareste,Anthropological Society of Paris
Camille Dareste,France
Camille Dareste,academic
